article_id,model_id,last_id,sports_categories,gender_last,laces_type,vamp_material,insole_length,ball_girth,ball_width,heel_width,toe_height,heel_spring,too_small,too_large
336,1116,79,Basketball,Male,sock,cotton,276.8,258.5,101.8,65,24.9,11.5,0.15046600692087125,0.20696496479373333
337,1116,79,Basketball,Male,sock,cotton,276.8,258.5,101.8,65,24.9,11.5,0.17299690216646313,0.21483970738558944
338,1116,79,Basketball,Male,sock,cotton,276.8,258.5,101.8,65,24.9,11.5,0.16118701069735553,0.20526983829747156
339,1116,79,Basketball,Male,sock,cotton,276.8,258.5,101.8,65,24.9,11.5,0.15362728347378252,0.19633112635660396
345,1118,457,Football,Female,laces,mesh,279.3,250,95,67,28.5,7.5,0.05177197393287292,0.1798243396909559
377,1130,112,Running,Male,sock,strung,277.2,249,95,64,29.1,7,0.17900143147404846,0.1279145698286149
378,1130,112,Running,Male,sock,strung,277.2,249,95,64,29.1,7,0.17448543766529273,0.0998013576906499
379,1130,112,Running,Male,sock,strung,277.2,249,95,64,29.1,7,0.17222331912978525,0.10823833561674012
380,1131,183,Running,Male,sock,leather,276.4,248,92.7,64,27.8,6.5,0.3166903078938564,0.07821945444020266
382,1131,183,Running,Male,sock,leather,276.4,248,92.7,64,27.8,6.5,0.3134353096939193,0.08044323058997052
383,1131,183,Running,Male,sock,leather,276.4,248,92.7,64,27.8,6.5,0.32244730706497143,0.06241247534733141
402,1140,99,Running,Male,laces,synthetic,277,257,99.7,69,26.4,7.5,0.11091726621696625,0.025966432675984134
403,1140,99,Running,Male,laces,synthetic,277,257,99.7,69,26.4,7.5,0.09498820337607179,0.05038341068868536
404,1140,99,Running,Male,laces,synthetic,277,257,99.7,69,26.4,7.5,0.12101136633250822,0.017871189872905945
405,1140,99,Running,Male,laces,synthetic,277,257,99.7,69,26.4,7.5,0.09450866603553595,0.04303795219126366
407,1143,385,Basketball,Male,laces,cotton,270,256,97.2,65.5,26,8,0.19141965058389576,0.3675383937310357
421,1149,340,Basketball,Male,laces,synthetic,274.6,261.5,96.7,62,28.9,10.5,0.05069413988688044,0.3852976051902737
423,115,68,Running,Male,sock,leather,275.6,254.5,95.5,65.5,29.1,10,0.20499373287135306,0.18028565191686283
424,115,68,Running,Male,sock,leather,275.6,254.5,95.5,65.5,29.1,10,0.2142801143927156,0.18351797563874458
437,1152,351,Basketball,Male,laces,cotton,277.6,246.5,93.9,67.5,27.5,8,0.15995371251315543,0.3055879259785824
438,1152,351,Basketball,Male,laces,cotton,277.6,246.5,93.9,67.5,27.5,8,0.14656997885271447,0.3096335229186603
450,1158,261,Basketball,Male,sock,strung,276.6,246,96.1,65.5,29.4,12,0.019720379353962723,0.34174077524804364
464,1164,228,Running,Female,sock,synthetic,275.4,249.5,93.4,64,28.4,13,0.09608040590211553,0.14824630935201624
465,1164,228,Running,Female,sock,synthetic,275.4,249.5,93.4,64,28.4,13,0.10199138434932958,0.1504425736028964
474,1169,68,Running,Male,laces,mesh,275.6,254.5,95.5,65.5,29.1,10,0.21497653668313105,0.15549041741385627
475,1169,68,Running,Male,laces,mesh,275.6,254.5,95.5,65.5,29.1,10,0.21152001748749996,0.17401150522784065
493,1176,417,Running,Female,laces,cotton,268.6,234.5,92.8,64,24.3,5,0.23046758033922587,0.15233028656721026
494,1176,417,Running,Female,laces,cotton,268.6,234.5,92.8,64,24.3,5,0.2018988666626797,0.13573576245309957
495,1176,417,Running,Female,laces,cotton,268.6,234.5,92.8,64,24.3,5,0.19498238954299515,0.14049702617915416
496,1176,417,Running,Female,laces,cotton,268.6,234.5,92.8,64,24.3,5,0.1976841151280011,0.1437931317875483
497,1176,417,Running,Female,laces,cotton,268.6,234.5,92.8,64,24.3,5,0.2316621125738408,0.14051986090205348
499,1178,218,Running,Female,laces,strung,274.5,258,101.5,66.5,27.9,10,0.1456517765928208,0.10879074068293669
501,118,170,Football,Male,sock,leather,277.1,250,96.8,69,27.6,10,0.02015383391527191,0.1455908370136364
502,1180,267,Basketball,Male,laces,strung,275.4,244.5,95.4,67,22.2,9.5,0.23830767326158692,0.2224900427860074
503,1180,267,Basketball,Male,laces,strung,275.4,244.5,95.4,67,22.2,9.5,0.2564644598762433,0.2101821312537261
511,1183,71,Basketball,Male,sock,cotton,281,265.5,100.2,66.5,25.2,8,0.17016526964844972,0.1570166918741089
512,1183,71,Basketball,Male,sock,cotton,281,265.5,100.2,66.5,25.2,8,0.15949724750705058,0.1643072431643044
513,1183,71,Basketball,Male,sock,cotton,281,265.5,100.2,66.5,25.2,8,0.18559577358414384,0.150938687821133
514,1183,71,Basketball,Male,sock,cotton,281,265.5,100.2,66.5,25.2,8,0.1884440931872332,0.1648759307840855
515,1183,71,Basketball,Male,sock,cotton,281,265.5,100.2,66.5,25.2,8,0.18078973733126924,0.1644919805574976
525,1191,345,Running,Male,laces,leather,277.6,252.5,98.4,67.5,25.8,13.5,0.13284262980710815,0.10500503694102406
526,1191,345,Running,Male,laces,leather,277.6,252.5,98.4,67.5,25.8,13.5,0.11007695657709596,0.1140855532005885
527,1191,345,Running,Male,laces,leather,277.6,252.5,98.4,67.5,25.8,13.5,0.12487371859938357,0.09557266570804095
528,1192,228,Running,Female,laces,mesh,275.4,249.5,93.4,64,28.4,13,0.07106214731114384,0.1267503738412976
529,1193,226,Basketball,Male,sock,leather,279.1,257.5,97.9,68,27.6,2.5,0.14959309359837866,0.20984676539337063
530,1193,226,Basketball,Male,sock,leather,279.1,257.5,97.9,68,27.6,2.5,0.16100196774872402,0.20984295749910642
531,1193,226,Basketball,Male,sock,leather,279.1,257.5,97.9,68,27.6,2.5,0.13599130232448575,0.23626468022732122
532,1193,226,Basketball,Male,sock,leather,279.1,257.5,97.9,68,27.6,2.5,0.16740552682428828,0.21747834371603417
533,1193,226,Basketball,Male,sock,leather,279.1,257.5,97.9,68,27.6,2.5,0.1500897324191798,0.23941237513817992
553,1200,464,Basketball,Male,sock,synthetic,280.9,249,94.7,66,26.1,9,0.16821809790881354,0.1345144143691618
576,1208,385,Basketball,Male,laces,cotton,270,256,97.2,65.5,26,8,0.18717263130604042,0.35935085854619114
577,1208,385,Basketball,Male,laces,cotton,270,256,97.2,65.5,26,8,0.16697515184871364,0.36095671629892195
584,121,306,Basketball,Female,laces,synthetic,274.4,249,95.3,69.5,27.8,5.5,0.1431252029772498,0.42511135502041586
585,121,306,Basketball,Female,laces,synthetic,274.4,249,95.3,69.5,27.8,5.5,0.1537653967939085,0.4241381554625604
602,1217,385,Basketball,Male,sock,synthetic,270,256,97.2,65.5,26,8,0.18856094667114637,0.3854423276428671
603,1217,385,Basketball,Male,sock,synthetic,270,256,97.2,65.5,26,8,0.17744654869024537,0.3667234293705142
604,1217,385,Basketball,Male,sock,synthetic,270,256,97.2,65.5,26,8,0.17660910548352377,0.36595978631286397
610,1219,261,Basketball,Male,laces,strung,276.6,246,96.1,65.5,29.4,12,0.019881561313544963,0.3314425846766827
611,1219,261,Basketball,Male,laces,strung,276.6,246,96.1,65.5,29.4,12,0.014365356072407567,0.3322660483582063
617,1221,32,Running,Male,sock,cotton,274.8,261,101,66,24.4,8.5,0.13500217827675484,0.13925498412668424
618,1221,32,Running,Male,sock,cotton,274.8,261,101,66,24.4,8.5,0.12056291076191364,0.15061542297723532
619,1221,32,Running,Male,sock,cotton,274.8,261,101,66,24.4,8.5,0.13781742285415977,0.15883614781810126
630,1225,320,Running,Male,sock,strung,279,253.5,97.1,64,24,8,0.15548859840541607,0.0530725297252119
631,1225,320,Running,Male,sock,strung,279,253.5,97.1,64,24,8,0.16220726854694772,0.04729565653669351
647,1233,388,Running,Female,laces,leather,277.1,244.5,91.9,62.5,25.9,7,0.11236001385677079,0.05582706922080723
648,1233,388,Running,Female,laces,leather,277.1,244.5,91.9,62.5,25.9,7,0.10620404039611751,0.048911130372287004
649,1233,388,Running,Female,laces,leather,277.1,244.5,91.9,62.5,25.9,7,0.08033847976350751,0.06050177640435222
650,1233,388,Running,Female,laces,leather,277.1,244.5,91.9,62.5,25.9,7,0.08501507644512937,0.06047404884159775
651,1233,388,Running,Female,laces,leather,277.1,244.5,91.9,62.5,25.9,7,0.11733246692530452,0.07593516687620415
659,1239,325,Running,Female,sock,mesh,274,243.5,94.8,65.5,26.1,13,0.2511397874623198,0.07901279740268191
660,1239,325,Running,Female,sock,mesh,274,243.5,94.8,65.5,26.1,13,0.2409492947497632,0.09980860315978721
664,1241,274,Running,Male,laces,synthetic,270.8,241,93,61.5,24.5,11.5,0.11445372202772144,0.2067626975628425
667,1242,68,Running,Male,laces,strung,275.6,254.5,95.5,65.5,29.1,10,0.2057976880680637,0.18695506651016897
668,1242,68,Running,Male,laces,strung,275.6,254.5,95.5,65.5,29.1,10,0.2223743035664701,0.15710494034724654
669,1242,68,Running,Male,laces,strung,275.6,254.5,95.5,65.5,29.1,10,0.19871994510247729,0.18494582212747407
679,1246,367,Running,Male,laces,leather,272.1,232,91,65.5,23.9,7.5,0.1342666293145269,0.1076332228150016
680,1246,367,Running,Male,laces,leather,272.1,232,91,65.5,23.9,7.5,0.12681740252591758,0.07776342336585448
681,1246,367,Running,Male,laces,leather,272.1,232,91,65.5,23.9,7.5,0.13321260008344707,0.09463466050550352
694,1251,12,Running,Female,sock,mesh,280.4,260,102.4,69.5,28.2,9,0.13405317618122975,0.11760978540316577
695,1251,12,Running,Female,sock,mesh,280.4,260,102.4,69.5,28.2,9,0.1527997950982749,0.14466771167790368
696,1251,12,Running,Female,sock,mesh,280.4,260,102.4,69.5,28.2,9,0.16567825397924907,0.13011063747805263
697,1251,12,Running,Female,sock,mesh,280.4,260,102.4,69.5,28.2,9,0.15963632264919,0.10585295237291031
698,1251,12,Running,Female,sock,mesh,280.4,260,102.4,69.5,28.2,9,0.15183555356018413,0.11531891316475874
702,1253,351,Basketball,Male,laces,synthetic,277.6,246.5,93.9,67.5,27.5,8,0.15963690997873808,0.3006911846697333
707,1256,71,Basketball,Male,laces,leather,281,265.5,100.2,66.5,25.2,8,0.1815048156694305,0.13673025338639735
708,1256,71,Basketball,Male,laces,leather,281,265.5,100.2,66.5,25.2,8,0.15571555112326943,0.15468004821593195
713,1260,340,Basketball,Male,laces,synthetic,274.6,261.5,96.7,62,28.9,10.5,0.05850525707075968,0.3777356270523615
715,1260,340,Basketball,Male,laces,synthetic,274.6,261.5,96.7,62,28.9,10.5,0.04029485095913381,0.36507635184308956
716,1261,26,Basketball,Male,laces,synthetic,270.5,243.5,95.9,66,26.9,6,0.1727264019082959,0.3759191617870866
717,1261,26,Basketball,Male,laces,synthetic,270.5,243.5,95.9,66,26.9,6,0.18261747071983728,0.37333771526449616
744,1273,455,Running,Male,laces,strung,278.5,252.5,92.8,69,25.6,9,0.2050082901327942,0.05304315172225192
759,128,450,Running,Male,sock,mesh,277.4,240,88.5,65.5,30.2,5,0.12553305258355613,0.18864282722854736
760,128,450,Running,Male,sock,mesh,277.4,240,88.5,65.5,30.2,5,0.1242046008762622,0.22361402403677388
761,128,450,Running,Male,sock,mesh,277.4,240,88.5,65.5,30.2,5,0.12199970650841627,0.21130292788104182
773,1283,450,Running,Male,laces,leather,277.4,240,88.5,65.5,30.2,5,0.09615678378835038,0.17879548107859125
774,1283,450,Running,Male,laces,leather,277.4,240,88.5,65.5,30.2,5,0.12234412918801119,0.2105110365831587
790,1288,98,Basketball,Male,laces,cotton,276.6,257.5,95.2,67.5,24.1,9.5,0.17766062552858342,0.38944853447635197
800,1292,497,Basketball,Male,laces,leather,269.7,245,94,67,24.2,9,0.21290842118073366,0.3745461763835467
801,1292,497,Basketball,Male,laces,leather,269.7,245,94,67,24.2,9,0.22904204772874645,0.3817397240150462
802,1292,497,Basketball,Male,laces,leather,269.7,245,94,67,24.2,9,0.19779250697244258,0.3598979242931365
814,1298,368,Running,Female,laces,leather,273.3,249,98.9,68.5,23.8,9,0.14045034262704809,0.04158809233195721
815,1298,368,Running,Female,laces,leather,273.3,249,98.9,68.5,23.8,9,0.14754791347591506,0.05238026810226257
821,13,12,Running,Female,laces,leather,280.4,260,102.4,69.5,28.2,9,0.1493616059402619,0.12978445070526068
822,13,12,Running,Female,laces,leather,280.4,260,102.4,69.5,28.2,9,0.12759284085716133,0.09795181652866575
823,13,12,Running,Female,laces,leather,280.4,260,102.4,69.5,28.2,9,0.14854016149559698,0.10364636043591317
824,13,12,Running,Female,laces,leather,280.4,260,102.4,69.5,28.2,9,0.13865559651232487,0.10356962664019874
828,1300,255,Running,Female,laces,cotton,278.2,254.5,94.5,67,27.9,11.5,0.28074472329358807,0.09746893752683858
848,1305,99,Running,Male,sock,synthetic,277,257,99.7,69,26.4,7.5,0.11360148129688327,0.04615291175312365
849,1305,99,Running,Male,sock,synthetic,277,257,99.7,69,26.4,7.5,0.0989828777523744,0.049814414763857354
850,1305,99,Running,Male,sock,synthetic,277,257,99.7,69,26.4,7.5,0.12094189260350902,0.03598170509042151
859,131,413,Running,Male,laces,synthetic,279,247.5,93.5,66,25.5,10,0.22106684350161498,0.06096575441499848
860,131,413,Running,Male,laces,synthetic,279,247.5,93.5,66,25.5,10,0.23402794016192516,0.0667532415516857
861,131,413,Running,Male,laces,synthetic,279,247.5,93.5,66,25.5,10,0.2163056481788096,0.07774802855600732
862,131,413,Running,Male,laces,synthetic,279,247.5,93.5,66,25.5,10,0.21133944920317344,0.06106085367409138
863,131,413,Running,Male,laces,synthetic,279,247.5,93.5,66,25.5,10,0.20384906603154815,0.055068113884073525
867,1311,461,Basketball,Female,laces,leather,276.6,260.5,98.2,68,26.5,6,0.2013706740275201,0.2699216142839641
868,1311,461,Basketball,Female,laces,leather,276.6,260.5,98.2,68,26.5,6,0.19503085648605026,0.24988821482546722
882,1318,102,Running,Male,sock,cotton,273.6,246,93.6,64.5,25.6,1.5,0.17427873775953007,0.19786676612269766
883,1318,102,Running,Male,sock,cotton,273.6,246,93.6,64.5,25.6,1.5,0.16294133509353328,0.18109903211563808
895,1321,238,Running,Female,sock,mesh,273.3,246,92.6,63.5,25.5,9.5,0.1274510270279252,0.1760224649048595
896,1321,238,Running,Female,sock,mesh,273.3,246,92.6,63.5,25.5,9.5,0.1297437348221726,0.14350079021385279
897,1321,238,Running,Female,sock,mesh,273.3,246,92.6,63.5,25.5,9.5,0.12509994130050256,0.15694335206073448
909,1328,385,Basketball,Male,laces,cotton,270,256,97.2,65.5,26,8,0.18519135896848737,0.3933896314318627
910,1328,385,Basketball,Male,laces,cotton,270,256,97.2,65.5,26,8,0.19765166361821643,0.3790136085849415
911,1328,385,Basketball,Male,laces,cotton,270,256,97.2,65.5,26,8,0.17631814524087347,0.3922200700138352
912,1328,385,Basketball,Male,laces,cotton,270,256,97.2,65.5,26,8,0.19837311737001764,0.3880108898489912
922,1330,314,Running,Male,laces,mesh,273.5,251.5,97.5,65,25.5,13,0.21593089240828167,0.09547408449265671
923,1330,314,Running,Male,laces,mesh,273.5,251.5,97.5,65,25.5,13,0.2370383466358984,0.07476507945565951
924,1330,314,Running,Male,laces,mesh,273.5,251.5,97.5,65,25.5,13,0.2272776251940884,0.08807013751477512
925,1330,314,Running,Male,laces,mesh,273.5,251.5,97.5,65,25.5,13,0.24335998267152464,0.08684627170646837
926,1331,197,Running,Male,sock,strung,280.1,249.5,95.8,69.5,26.6,6.5,0.1717360063116435,0.03415471062688216
927,1331,197,Running,Male,sock,strung,280.1,249.5,95.8,69.5,26.6,6.5,0.18298963590576284,0.049762369687530394
928,1331,197,Running,Male,sock,strung,280.1,249.5,95.8,69.5,26.6,6.5,0.18771248795581483,0.024302645754236952
929,1331,197,Running,Male,sock,strung,280.1,249.5,95.8,69.5,26.6,6.5,0.16959906741463412,0.05791420759551705
952,1339,218,Running,Female,sock,cotton,274.5,258,101.5,66.5,27.9,10,0.11620363115731189,0.0826878303577257
953,1339,218,Running,Female,sock,cotton,274.5,258,101.5,66.5,27.9,10,0.14520501776331884,0.10225152687034236
954,1339,218,Running,Female,sock,cotton,274.5,258,101.5,66.5,27.9,10,0.12660580881722963,0.09929030715459486
961,1341,95,Basketball,Male,sock,leather,276.6,250.5,100,67,28.2,6.5,0.10031167672121705,0.3393509875695796
962,1341,95,Basketball,Male,sock,leather,276.6,250.5,100,67,28.2,6.5,0.10389054348570381,0.3248749680256475
963,1341,95,Basketball,Male,sock,leather,276.6,250.5,100,67,28.2,6.5,0.11918947525273105,0.3473480715144033
972,1346,387,Running,Female,sock,mesh,275.2,249.5,96.8,66,25.3,8.5,0.08521803046476605,0.065368966564356
973,1346,387,Running,Female,sock,mesh,275.2,249.5,96.8,66,25.3,8.5,0.0813299597816099,0.09730421832899383
974,1346,387,Running,Female,sock,mesh,275.2,249.5,96.8,66,25.3,8.5,0.07141162665894597,0.07650079508933037
975,1346,387,Running,Female,sock,mesh,275.2,249.5,96.8,66,25.3,8.5,0.07412037876291358,0.08376158790385771
984,135,161,Football,Male,sock,mesh,274.8,251.5,97.3,68.5,27.2,10.5,0.05285196210904488,0.12380557302556454
985,135,161,Football,Male,sock,mesh,274.8,251.5,97.3,68.5,27.2,10.5,0.04927901445040882,0.12933525034884344
986,135,161,Football,Male,sock,mesh,274.8,251.5,97.3,68.5,27.2,10.5,0.053870274809578025,0.09190076122692055
990,1353,350,Basketball,Female,laces,synthetic,271.6,240.5,93.3,65,23.4,7.5,0.24652438835843427,0.40471178060739066
991,1354,440,Football,Female,sock,leather,276.9,254,95.2,65,29.8,10.5,0.022293062332594687,0.13626110902986677
992,1354,440,Football,Female,sock,leather,276.9,254,95.2,65,29.8,10.5,0.052085931679763414,0.1692945034863764
993,1354,440,Football,Female,sock,leather,276.9,254,95.2,65,29.8,10.5,0.05143652631482033,0.15948643234495108
994,1354,440,Football,Female,sock,leather,276.9,254,95.2,65,29.8,10.5,0.039417486413133876,0.14850060001047302
1001,1358,251,Basketball,Male,laces,strung,277.2,261,99.3,69.5,23.6,13,0.1938824116142592,0.4872675997698417
1007,1360,388,Running,Female,sock,cotton,277.1,244.5,91.9,62.5,25.9,7,0.09383301105559241,0.09147729668226326
1018,1368,125,Basketball,Male,laces,strung,274.4,240,94.3,68,23.6,11.5,0.2174251648144869,0.41100872485890094
1019,1369,388,Running,Female,sock,leather,277.1,244.5,91.9,62.5,25.9,7,0.12036017898455646,0.08718887318066788
1020,1369,388,Running,Female,sock,leather,277.1,244.5,91.9,62.5,25.9,7,0.10680705718334353,0.09500869944064672
1021,1369,388,Running,Female,sock,leather,277.1,244.5,91.9,62.5,25.9,7,0.10857040303323583,0.07880826896332589
1022,137,32,Running,Male,laces,leather,274.8,261,101,66,24.4,8.5,0.11983222485968005,0.15310678314369824
1023,137,32,Running,Male,laces,leather,274.8,261,101,66,24.4,8.5,0.13602072529099601,0.1323138042829121
1024,137,32,Running,Male,laces,leather,274.8,261,101,66,24.4,8.5,0.09967782594714088,0.12671004088347168
1025,137,32,Running,Male,laces,leather,274.8,261,101,66,24.4,8.5,0.10800610323577803,0.15272953741639556
1031,1373,125,Basketball,Male,laces,cotton,274.4,240,94.3,68,23.6,11.5,0.1990632173103604,0.42172735111475534
1032,1373,125,Basketball,Male,laces,cotton,274.4,240,94.3,68,23.6,11.5,0.206722325712221,0.40644220556805655
1039,1376,27,Running,Male,sock,synthetic,276.6,251.5,95.3,67.5,29.7,2,0.14722095554077375,0.12688372786953298
1040,1376,27,Running,Male,sock,synthetic,276.6,251.5,95.3,67.5,29.7,2,0.13732534345475625,0.1466808761244102
1049,1379,28,Running,Male,sock,synthetic,274.4,243.5,94.3,65.5,28,5.5,0.30109353712336995,0.09266754600132557
